p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
OEM,TV & Video,//vn-live-05.slatic.net/p/1a18a8525daa7ac25d241296c711228b.jpg_720x720q80.jpg_.webp,Non-Mall,Điều khiển hồng ngoại cho TV Box sử dụng rockchip rk3128 rk3229 rk3228 rk3288 rk3188,3 đánh giá,49.000 ₫,0,0,0,0,3,5.0,Khavy Shop 1607233865,95%,95%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/ef21dff8ebe8d9d2502b126c39bd123a.jpg_720x720q80.jpg_.webp,Non-Mall,[HCM]Dây cáp HDMI 2.0 3hcomputer hỗ trợ 4K 3D dùng cho Máy tính Tivi Máy chiếu và Ps4 thuần đồng 19+1 dài 5M 2kx4k (Loại mới ) Dây HDMI 2.0 4K x 2K xuất được màn hình 50 IN -5M,6 đánh giá,109.000 ₫,0,0,0,0,6,5.0,3H COMPUTER,90%,93%,100%
OEM,TV & Video,//vn-live-05.slatic.net/p/3d2607a7d5dd96a70ce9c27104be77c3.jpg_720x720q80.jpg_.webp,Non-Mall,Chuột bay giọng nói T5M full bàn phím tính năng 3 in 1,52 đánh giá,179.000 ₫,1,0,2,5,44,4.8,Khavy Shop 1607233865,95%,95%,100%
OEM,TV & Video,//vn-live-05.slatic.net/original/615ad219e2e0ee01739fd61a3cc3e31f.jpg_720x720q80.jpg_.webp,Non-Mall,Remote - Điều khiển TV SAMSUNG đa năng siêu bền (Hàng chuẩn),148 đánh giá,65.000 ₫,0,1,5,15,127,4.8,Topmuachung,93%,98%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/545a81fa490fa13891b2c8faa7eb29fb.jpg_720x720q80.jpg_.webp,Non-Mall,Giá treo tivi thẳng tường 26 đến 40 inch sơn tĩnh điện rất bền,86 đánh giá,59.000 ₫,6,2,6,8,64,4.4,Công Nghệ Shop,94%,99%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/9b6b400a7a9dff13fd5cc48f75d66bc0.jpg_720x720q80.jpg_.webp,Non-Mall,[HCM]LG 315 - Remote điều khiển Tivi LG Smart Thông minh AKB75095315,62 đánh giá,35.000 ₫,2,2,2,4,52,4.6,Kỹ Thuật Phần Cứng - lqv77,97%,88%,100%
OEM,TV & Video,//vn-live-05.slatic.net/p/f6f0f575ab399ab094f66057ba11571e.jpg_720x720q80.jpg_.webp,Non-Mall,Dây cáp cấp nguồn 5V cho Anten có mạch khuếch đại DVB-T2 từ cổng USB,63 đánh giá,37.050 ₫,5,1,4,9,44,4.4,GIATOT.shop (Hà Nội),85%,100%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/75a0a639a79128e994a083d266d4f6e3.png_720x720q80.jpg_.webp,Non-Mall,"Bọc điều khiển silicon cho tivi, điều hòa",36 đánh giá,15.900 ₫,2,0,1,2,31,4.7,Smarthouse.vn,95%,100%,100%
No Brand,TV & Video,//vn-live-05.slatic.net/p/59157def42c6ba18054ed1106073a0f9.jpg_720x720q80.jpg_.webp,Non-Mall,Điều khiển TV Toshiba đa năng màn hình thủy tinh đời cũ thay thế cho tất cả remote tv toshiba đời cũ,2 đánh giá,24.000 ₫,1,0,0,0,1,3.0,Điện Dân Dụng HTĐ,95%,100%,100%
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/04b1d8def5f2e12c6f77f2123c4c26bf.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ  DA1007 GUMAC thiết kế  polo thêu positive,451 đánh giá,129.000 ₫,3,2,5,27,414,4.9,GUMAC,98%,99%,100%
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/77455ed0e35712ff0f65f57b5c009d1b.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ  bèo tay cách điệu DB797 mẫu mới GUMAC,19 đánh giá,229.000 ₫,0,0,0,0,19,5.0,GUMAC,98%,99%,100%
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/735fcfd8c7b53ff0dd185aa1183c5dc4.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ chiết ly tùng GUMAC DB604,119 đánh giá,189.000 ₫,0,0,7,6,106,4.8,GUMAC,98%,99%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/7c457e090c83dd78002a16c80f44f9b3.jpg_720x720q80.jpg_.webp,Non-Mall,Váy cổ thắt nơ HSU0221,299 đánh giá,45.000 ₫,5,7,11,38,238,4.7,Tổng Kho Sỉ Thời Trang Giá Rẻ,88%,99%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/3997fe8739a3f1a251c8961815723218.jpg_720x720q80.jpg_.webp,Non-Mall,"[YenTran] Đầm Nữ  Dễ Thương Đan Dây Lưng Chất Đũi Dáng Rộng, 1m1",1595 đánh giá,52.000 ₫,57,20,51,88,1379,4.7,Tổng Kho Yến Trần,95%,97%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/6523b26da7b35c72b2deaed6a3d5e1c1.jpg_720x720q80.jpg_.webp,Non-Mall,[Yến Trần] ĐẦm Suông - Váy Suông CEST From Rộng - Dáng dài,244 đánh giá,50.000 ₫,4,1,8,20,211,4.8,Tổng Kho Yến Trần,95%,97%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/aa65374857128cac6954e09ec2743a29.jpg_720x720q80.jpg_.webp,Non-Mall,Váy cổ thắt nơ HSU0221,22 đánh giá,49.000 ₫,0,0,1,3,18,4.8,Thời Trang Nữ Hari Queen,87%,99%,100%
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/ea50b93fb75ee39bcd54bef849306aaa.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ cổ vuông đan dây GUMAC DB667,29 đánh giá,199.000 ₫,1,0,0,0,28,4.9,GUMAC,98%,99%,100%
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/7595c9cbd6f27928a5eab87423ea82fd.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ cổ V rút nhún GUMAC DB647,48 đánh giá,249.000 ₫,0,0,1,3,44,4.9,GUMAC,98%,99%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/7ae3e3a4c50edb4c262891bf27b4f038.jpg_720x720q80.jpg_.webp,Non-Mall,"Đầm trễ vai tiểu thư, váy trễ vai 3 tầng bèo chất voan 2 màu trắng đen - VIETCENVN",81 đánh giá,84.040 ₫,1,0,4,9,67,4.7,vietcentrevn,91%,96%,100%
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/c2620cc18b4b9260f654c60441869a86.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ  sọc cổ bẻ DB713 mẫu mới GUMAC,22 đánh giá,229.000 ₫,0,0,0,1,21,5.0,GUMAC,98%,99%,100%
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/2a5a08b78be060a93d03b948d60d2856.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ  8 mảnh rã cúp  DB7101 mẫu mới GUMAC,12 đánh giá,248.000 ₫,,,,,,,GUMAC,98%,99%,100%
