p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
Toshiba,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/101319cd821e7c28bfb12d773d6d57a1.jpg_720x720q80.jpg_.webp,Non-Mall,"[Xả Hàng] Toshiba Dynabook R731 (Portege R830) Máy tính xách tay  Chíp i5 mạnh mẽ Laptop Gaming cũ giá rẻ Ổ SSD mới cho tốc độ xử lý nhanh trọng lượng máy nhẹ chỉ 1,3kg tiện dụng máy tín",45 đánh giá,3.280.000 ₫,1,0,0,2,42,4.9,LAJAPA- Laptop Nhật Bản,97%,100%,100%
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ec29947c877675e4334380113082d1a4.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New Microsoft Surface Pro X SQ2 - 16GB Go RAM 512GB SSD Platinum,Không có đánh giá,13.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Lenovo,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/445781c959b09ca0adb2f0eb798f6538.jpg_720x720q80.jpg_.webp,Non-Mall,"BRAND NEW LENOVO Legion 7i 15"" i7-10750 RTX™ 2070 Super FHD 240Hz SSD Slate Grey",Không có đánh giá,16.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
MSI,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/f8bd8136173411440149b56d323794e5.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New MSI GS75 Stealth 9SG-1074US 17.3"" 32GB RAM 1TB SSD, Intel Core i7-9750H RTX2080",Không có đánh giá,20.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
ASUS,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/80424c6a149763e3af3fbf5c77a70ed0.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New ASUS Zenbook Pro Duo UX581 15.6"" Touchscreen (i9-10980HK) 4K UHD 32GB  2TB SSD",Không có đánh giá,20.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a865cd7e91fbec3f99aab60f1ea4dbe9.jpg_720x720q80.jpg_.webp,Non-Mall,"HP Elitebook 830 G5, Laptop Văn Phòng Vỏ Nhôm Cao Cấp, i5- 8250U, RAM 8G, SSD NVMe 256G, VGA Intel UHD 620, Màn 13.3 Full HD IPS",Không có đánh giá,13.200.000 ₫,0,0,0,0,0,0,LaptopLC298,98%,100%,100%
MAC,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/2e5f789f0203232b1832412e420ba309.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New AppleMacBook Air 13"" M1 chip (256 Go SSD, 8 Go RAM) - Silver",Không có đánh giá,17.000.000 ₫,,,,,,,GADGETSHUB PLC,,66%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/48922344114dcc65e42205323f49866d.jpg_720x720q80.jpg_.webp,Non-Mall,"Laptop HP Gaming Pavilion 15 DK0139TX (i7 9750H,GTX 1660TI , 15.6IN 144GHZ )",Không có đánh giá,21.500.000 ₫,0,0,0,0,0,0,LAPTOPGAME,94%,100%,100%
Lenovo,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/636d98b5c702438b9c3b232bc1ddcbd9.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New Lenovo ThinkPad X1 Carbon 14'' (8th Gen) Ultrabook 16GB RAM 1TB SSD,Không có đánh giá,14.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a865cd7e91fbec3f99aab60f1ea4dbe9.jpg_720x720q80.jpg_.webp,Non-Mall,"HP Elitebook 840 G5, Bảo Mật Vân Tay, Mỏng Nhẹ Sang Chảnh, i7-7600U, VGA Intel UHD 620, Màn 14 FullHD IPS, 88% sRGB",Không có đánh giá,14.300.000 ₫,,,,,,,LaptopLC298,98%,100%,100%
Razer,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/3604e33af79eb54dfe9312f097e5cda6.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New Razer Blade Pro 17 Laptop D17 Core i7-10875H 2.6GHz RTX 3080 32GB RAM 1TB SSD,Không có đánh giá,18.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/8b0c8945567fa0561975ea1876796557.jpg_720x720q80.jpg_.webp,Non-Mall,Dell Inspiron 5402 i5-1135G7/ RAM 8GB/ SSD 512GB/ Intel Iris Xe Graphics/ 14 inch,Không có đánh giá,17.990.000 ₫,0,0,0,0,0,0,No.1 Computer,,Không đủ thông tin,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/80c96e306a9ec42482f91cc94e9966f5.jpg_720x720q80.jpg_.webp,Non-Mall,"[Mới 100% New Seal] Dell Inspiron 15 3511 ( Core i3-1115G4, Ram 4G, ssd 128G, Màn 15.6 FHD IPS )",Không có đánh giá,13.200.000 ₫,0,0,0,0,0,0,LAPTOPGAME,94%,100%,100%
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/be528a4b1087cc342591ef9d4db6de8c.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New Microsoft Surface Go 2 10.5"" Intel Pentium 8GB RAM 128GB SSD - GOLD",Không có đánh giá,11.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ab973a529b50491bb63a1253aa6dc7d0.png_720x720q80.jpg_.webp,Mall,"Laptop Dell Inspiron 7400 14.5 inches IPS QHD (Intel / i7-1165G7 / 16GB / 512GB SSD / NVIDIA GeForce MX350, 2GB / Finger Print / Win 10 Home SL) l Silver l DDXGD1 l HÀNG CHÍNH HÃNG",Không có đánh giá,31.490.000 ₫,0,0,0,0,0,0,DELL Official Retail Store,88%,100%,100%
